AMFI Code,Scheme Name,Alpha (%),Beta
119598,SBI Small Cap Fund - Regular Plan - Growth,30.11,0.0742664848380288
149324,DSP Small Cap Fund - Regular - Growth,29.82,0.13260808824054154
120505,ICICI Pru Midcap Fund - Regular - Growth,29.3,-0.017391171743071688
148569,Mirae Asset Tax Saver Fund - Regular - Growth,28.35,-0.010201365088271777
120843,Kotak Flexicap Fund - Regular - Growth,27.28,-0.008737359353900988
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,27.23,-0.011199710059456157
148567,Mirae Asset Large Cap Fund - Regular - Growth,27.12,-0.02813331223165745
149323,DSP Midcap Fund - Regular - Growth,26.58,0.0034785300797906724
119094,Axis Midcap Fund - Regular - Growth,26.0,-0.05986815058386658
119551,SBI Bluechip Fund - Regular Plan - Growth,23.22,-0.05604508562674627
118632,Nippon India Large Cap Fund - Regular - Growth,21.73,0.036434217731472866
101206,ABSL Frontline Equity Fund - Regular - Growth,21.39,0.03381398454659162
120504,ICICI Pru Bluechip Fund - Direct - Growth,21.21,0.017025361766949264
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,20.79,5.11619674096076e-05
119552,SBI Bluechip Fund - Direct Plan - Growth,19.83,-0.019853025049675753
125497,HDFC Top 100 Fund - Direct Plan - Growth,17.89,-0.0054593165590488425
118634,Nippon India Small Cap Fund - Regular - Growth,17.8,0.009128170084160607
120503,ICICI Pru Bluechip Fund - Regular - Growth,17.59,-0.004111147836045636
102885,UTI Nifty 50 Index Fund - Regular - Growth,16.99,-0.0018841874054637215
120506,ICICI Pru Value Discovery Fund - Regular - Growth,16.28,0.047708015202565096
102887,UTI Flexi Cap Fund - Regular - Growth,16.18,0.04011620562000179
118633,Nippon India Large Cap Fund - Direct - Growth,15.5,0.013157652619096497
118635,Nippon India ETF Nifty 50 BeES,15.16,-0.013806609371555974
149322,DSP Top 100 Equity Fund - Regular - Growth,13.13,0.014848756863667925
120841,Kotak Bluechip Fund - Regular - Growth,13.07,0.04167578236653616
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,12.06,-0.018512868789591505
101207,ABSL Small Cap Fund - Regular - Growth,10.82,-0.059855845864600625
119093,Axis Bluechip Fund - Direct - Growth,8.33,-0.008427720099019353
120842,Kotak Emerging Equity Fund - Regular - Growth,7.86,0.000647555554442608
119092,Axis Bluechip Fund - Regular - Growth,6.97,-0.019608739866468196
120507,ICICI Pru Liquid Fund - Regular - Growth,6.75,-0.0011254611770458527
120844,Kotak Liquid Fund - Regular - Growth,6.45,-7.563158272733974e-05
101208,ABSL Liquid Fund - Regular - Growth,6.08,0.0013273169546884347
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,5.58,0.011990672594122525
118636,Nippon India Gilt Securities Fund - Regular - Growth,5.1,-0.008492388448091661
119599,SBI Small Cap Fund - Direct Plan - Growth,5.06,0.007680982959652939
119095,Axis Small Cap Fund - Regular - Growth,4.57,0.0132917234707355
100025,HDFC Short Term Debt Fund - Regular - Growth,4.32,-0.016175640851260303
100016,HDFC Top 100 Fund - Regular Plan - Growth,3.62,-0.025909405765861097
102886,UTI Mid Cap Fund - Regular - Growth,2.89,-0.06147606747188307
