investor_id,num_sips,avg_gap_days,max_gap_days,at_risk,age_group,city
INV000004,6,85.4,265,Yes,26-35,Chandigarh
INV000008,6,70.4,165,Yes,26-35,Amritsar
INV000010,6,64.8,139,Yes,36-45,Pune
INV000011,7,40.2,125,Yes,26-35,Kolkata
INV000012,8,57.0,132,Yes,46-55,Kanpur
INV000013,7,55.3,104,Yes,18-25,Nashik
INV000014,7,75.3,128,Yes,18-25,Chennai
INV000023,8,58.6,115,Yes,46-55,Kolkata
INV000028,6,93.6,238,Yes,18-25,Surat
INV000029,7,60.7,96,Yes,26-35,Udaipur
INV000030,9,47.6,100,Yes,18-25,Noida
INV000033,8,45.6,87,Yes,36-45,New Delhi
INV000039,6,68.6,129,Yes,26-35,Bhopal
INV000045,6,70.6,109,Yes,36-45,Lucknow
INV000048,9,46.0,168,Yes,36-45,Jaipur
INV000052,6,36.2,120,Yes,26-35,Coimbatore
INV000056,6,74.8,161,Yes,26-35,Faridabad
INV000057,8,49.7,149,Yes,36-45,Chennai
INV000069,10,49.1,129,Yes,56+,Ahmedabad
INV000072,6,83.0,247,Yes,18-25,Ahmedabad
INV000073,9,48.2,112,Yes,18-25,Amritsar
INV000074,8,72.6,191,Yes,26-35,Jaipur
INV000075,6,74.8,102,Yes,36-45,Bhopal
INV000076,6,91.8,203,Yes,56+,Ahmedabad
INV000079,6,65.8,90,Yes,26-35,Surat
INV000081,7,81.3,167,Yes,36-45,Surat
INV000082,7,83.7,351,Yes,26-35,Udaipur
INV000086,10,44.7,167,Yes,18-25,Mysore
INV000087,6,92.8,202,Yes,36-45,Jaipur
INV000091,8,44.0,105,Yes,26-35,Gurugram
INV000093,7,55.5,91,Yes,36-45,Mumbai
INV000094,6,44.8,95,Yes,18-25,Kolkata
INV000095,6,69.4,155,Yes,18-25,Kolkata
INV000097,7,54.5,183,Yes,18-25,Mysore
INV000101,8,65.0,197,Yes,26-35,Indore
INV000102,8,65.3,109,Yes,26-35,Surat
INV000103,6,83.4,232,Yes,26-35,Chandigarh
INV000105,8,57.0,87,Yes,56+,Chandigarh
INV000109,9,46.2,63,Yes,26-35,Bangalore
INV000113,8,46.0,144,Yes,26-35,Chandigarh
INV000123,7,59.7,142,Yes,46-55,Chandigarh
INV000128,6,82.0,181,Yes,36-45,Jaipur
INV000131,7,56.0,123,Yes,36-45,Hyderabad
INV000132,6,71.0,139,Yes,46-55,Bangalore
INV000133,6,88.2,265,Yes,26-35,Bangalore
INV000138,6,76.2,220,Yes,26-35,Hyderabad
INV000145,6,89.4,282,Yes,26-35,New Delhi
INV000146,6,66.8,171,Yes,26-35,Gurugram
INV000148,9,52.0,168,Yes,18-25,Hyderabad
INV000155,7,37.3,99,Yes,26-35,Bhopal
INV000161,7,73.0,213,Yes,18-25,Jaipur
INV000163,8,61.0,80,Yes,46-55,Kanpur
INV000164,6,61.8,208,Yes,18-25,Udaipur
INV000169,7,67.8,145,Yes,26-35,Jaipur
INV000173,7,57.7,165,Yes,26-35,Mumbai
INV000175,7,83.7,170,Yes,26-35,Bangalore
INV000177,8,65.4,278,Yes,26-35,Jaipur
INV000180,6,61.8,229,Yes,46-55,Coimbatore
INV000183,9,56.1,216,Yes,26-35,Coimbatore
INV000191,7,56.5,161,Yes,26-35,Bangalore
INV000194,7,58.0,109,Yes,36-45,Pune
INV000195,6,77.4,114,Yes,36-45,Bhopal
INV000196,7,69.0,176,Yes,26-35,Chennai
INV000201,9,51.1,100,Yes,46-55,Indore
INV000205,8,62.6,193,Yes,18-25,Faridabad
INV000210,8,70.7,163,Yes,26-35,Jaipur
INV000214,6,94.8,306,Yes,26-35,Indore
INV000217,6,92.0,183,Yes,56+,Chennai
INV000228,9,59.8,188,Yes,26-35,Bangalore
INV000236,8,67.1,112,Yes,36-45,Bangalore
INV000238,6,93.6,287,Yes,36-45,Hyderabad
INV000239,8,48.9,105,Yes,36-45,Amritsar
INV000243,6,88.2,137,Yes,26-35,Chandigarh
INV000245,6,92.2,164,Yes,26-35,Amritsar
INV000249,7,45.5,162,Yes,26-35,Amritsar
INV000252,6,50.4,96,Yes,46-55,Surat
INV000255,6,48.6,103,Yes,26-35,Gurugram
